0 info it worked if it ends with ok
1 verbose cli [ 'node', '/usr/local/bin/npm', 'update', '-g', 'yeoman' ]
2 info using npm@1.1.63
3 info using node@v0.8.12
4 verbose read json /usr/local/lib/package.json
5 verbose read json /usr/local/lib/node_modules/express/package.json
6 verbose read json /usr/local/lib/node_modules/grunt/package.json
7 verbose read json /usr/local/lib/node_modules/jshint/package.json
8 verbose read json /usr/local/lib/node_modules/less/package.json
9 verbose read json /usr/local/lib/node_modules/mongoose/package.json
10 verbose read json /usr/local/lib/node_modules/nodemon/package.json
11 verbose read json /usr/local/lib/node_modules/npm/package.json
12 verbose read json /usr/local/lib/node_modules/recess/package.json
13 verbose read json /usr/local/lib/node_modules/requirejs/package.json
14 verbose read json /usr/local/lib/node_modules/uglify-js/package.json
15 verbose read json /usr/local/lib/node_modules/yeoman/package.json
16 verbose cache add [ 'yeoman', '*' ]
17 silly cache add name="yeoman" spec="*" args=["yeoman","*"]
18 verbose parsed url { pathname: '*', path: '*', href: '*' }
19 verbose addNamed [ 'yeoman', '*' ]
20 verbose addNamed [ null, '' ]
21 verbose from cache /usr/local/lib/node_modules/grunt/package.json
22 verbose from cache /usr/local/lib/node_modules/npm/package.json
23 verbose from cache /usr/local/lib/node_modules/express/package.json
24 verbose from cache /usr/local/lib/node_modules/jshint/package.json
25 verbose from cache /usr/local/lib/node_modules/mongoose/package.json
26 verbose from cache /usr/local/lib/node_modules/uglify-js/package.json
27 verbose from cache /usr/local/lib/node_modules/less/package.json
28 verbose from cache /usr/local/lib/node_modules/recess/package.json
29 verbose from cache /usr/local/lib/node_modules/nodemon/package.json
30 verbose from cache /usr/local/lib/node_modules/requirejs/package.json
31 verbose read json /usr/local/lib/node_modules/npm/node_modules/abbrev/package.json
32 verbose read json /usr/local/lib/node_modules/npm/node_modules/ansi/package.json
33 verbose read json /usr/local/lib/node_modules/npm/node_modules/archy/package.json
34 verbose read json /usr/local/lib/node_modules/npm/node_modules/block-stream/package.json
35 verbose read json /usr/local/lib/node_modules/npm/node_modules/chownr/package.json
36 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream/package.json
37 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream-npm/package.json
38 verbose read json /usr/local/lib/node_modules/npm/node_modules/glob/package.json
39 verbose read json /usr/local/lib/node_modules/npm/node_modules/graceful-fs/package.json
40 verbose read json /usr/local/lib/node_modules/npm/node_modules/inherits/package.json
41 verbose read json /usr/local/lib/node_modules/npm/node_modules/ini/package.json
42 verbose read json /usr/local/lib/node_modules/npm/node_modules/init-package-json/package.json
43 verbose read json /usr/local/lib/node_modules/npm/node_modules/lockfile/package.json
44 verbose read json /usr/local/lib/node_modules/npm/node_modules/lru-cache/package.json
45 verbose read json /usr/local/lib/node_modules/npm/node_modules/minimatch/package.json
46 verbose read json /usr/local/lib/node_modules/npm/node_modules/mkdirp/package.json
47 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/package.json
48 verbose read json /usr/local/lib/node_modules/npm/node_modules/nopt/package.json
49 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/package.json
50 verbose read json /usr/local/lib/node_modules/npm/node_modules/npmconf/package.json
51 verbose read json /usr/local/lib/node_modules/npm/node_modules/npmlog/package.json
52 verbose read json /usr/local/lib/node_modules/npm/node_modules/once/package.json
53 verbose read json /usr/local/lib/node_modules/npm/node_modules/opener/package.json
54 verbose read json /usr/local/lib/node_modules/npm/node_modules/osenv/package.json
55 verbose read json /usr/local/lib/node_modules/npm/node_modules/read/package.json
56 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-installed/package.json
57 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-package-json/package.json
58 verbose read json /usr/local/lib/node_modules/npm/node_modules/request/package.json
59 verbose read json /usr/local/lib/node_modules/npm/node_modules/retry/package.json
60 verbose read json /usr/local/lib/node_modules/npm/node_modules/rimraf/package.json
61 verbose read json /usr/local/lib/node_modules/npm/node_modules/semver/package.json
62 verbose read json /usr/local/lib/node_modules/npm/node_modules/slide/package.json
63 verbose read json /usr/local/lib/node_modules/npm/node_modules/tar/package.json
64 verbose read json /usr/local/lib/node_modules/npm/node_modules/uid-number/package.json
65 verbose read json /usr/local/lib/node_modules/npm/node_modules/which/package.json
66 verbose read json /usr/local/lib/node_modules/jshint/node_modules/cli/package.json
67 verbose read json /usr/local/lib/node_modules/jshint/node_modules/minimatch/package.json
68 verbose read json /usr/local/lib/node_modules/mongoose/node_modules/hooks/package.json
69 verbose read json /usr/local/lib/node_modules/mongoose/node_modules/mongodb/package.json
70 verbose read json /usr/local/lib/node_modules/grunt/node_modules/.bin/package.json
71 verbose read json /usr/local/lib/node_modules/grunt/node_modules/async/package.json
72 verbose read json /usr/local/lib/node_modules/grunt/node_modules/colors/package.json
73 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/package.json
74 verbose read json /usr/local/lib/node_modules/grunt/node_modules/dateformat/package.json
75 verbose read json /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/package.json
76 verbose read json /usr/local/lib/node_modules/grunt/node_modules/gzip-js/package.json
77 verbose read json /usr/local/lib/node_modules/grunt/node_modules/hooker/package.json
78 verbose read json /usr/local/lib/node_modules/grunt/node_modules/jshint/package.json
79 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/package.json
80 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nopt/package.json
81 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/package.json
82 verbose read json /usr/local/lib/node_modules/grunt/node_modules/semver/package.json
83 verbose read json /usr/local/lib/node_modules/grunt/node_modules/temporary/package.json
84 verbose read json /usr/local/lib/node_modules/grunt/node_modules/uglify-js/package.json
85 verbose read json /usr/local/lib/node_modules/grunt/node_modules/underscore/package.json
86 verbose read json /usr/local/lib/node_modules/grunt/node_modules/underscore.string/package.json
87 silly lockFile fd94f358-yeoman yeoman@*
88 verbose lock yeoman@* /Users/Vince/.npm/fd94f358-yeoman.lock
89 verbose read json /usr/local/lib/node_modules/express/node_modules/connect/package.json
90 verbose read json /usr/local/lib/node_modules/express/node_modules/mime/package.json
91 verbose read json /usr/local/lib/node_modules/express/node_modules/mkdirp/package.json
92 verbose read json /usr/local/lib/node_modules/express/node_modules/qs/package.json
93 verbose read json /usr/local/lib/node_modules/recess/node_modules/.bin/package.json
94 verbose read json /usr/local/lib/node_modules/recess/node_modules/colors/package.json
95 verbose read json /usr/local/lib/node_modules/recess/node_modules/less/package.json
96 verbose read json /usr/local/lib/node_modules/recess/node_modules/nopt/package.json
97 verbose read json /usr/local/lib/node_modules/recess/node_modules/underscore/package.json
98 silly addNameRange { name: 'yeoman', range: '', hasData: false }
99 warn package.json mongodb@0.9.9-7 No README.md file found!
100 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/async/package.json
101 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/colors/package.json
102 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/package.json
103 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/dateformat/package.json
104 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/package.json
105 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/hooker/package.json
106 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/jshint/package.json
107 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/package.json
108 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nopt/package.json
109 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/package.json
110 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/semver/package.json
111 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/uglify-js/package.json
112 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/underscore/package.json
113 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/underscore.string/package.json
114 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/temporary/package.json
115 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/gzip-js/package.json
116 warn package.json connect@1.9.2 No README.md file found!
117 verbose read json /usr/local/lib/node_modules/grunt/node_modules/jshint/node_modules/cli/package.json
118 verbose read json /usr/local/lib/node_modules/grunt/node_modules/jshint/node_modules/minimatch/package.json
119 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/.bin/package.json
120 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/package.json
121 verbose read json /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/node_modules/minimatch/package.json
122 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/bytes/package.json
123 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/cookie/package.json
124 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/crc/package.json
125 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/debug/package.json
126 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/formidable/package.json
127 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/fresh/package.json
128 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/pause/package.json
129 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/qs/package.json
130 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/package.json
131 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nopt/node_modules/abbrev/package.json
132 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/pkginfo/package.json
133 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/package.json
134 verbose read json /usr/local/lib/node_modules/grunt/node_modules/gzip-js/node_modules/.bin/package.json
135 verbose read json /usr/local/lib/node_modules/grunt/node_modules/gzip-js/node_modules/crc32/package.json
136 verbose read json /usr/local/lib/node_modules/grunt/node_modules/gzip-js/node_modules/deflate-js/package.json
137 verbose read json /usr/local/lib/node_modules/grunt/node_modules/temporary/node_modules/package/package.json
138 verbose url raw yeoman
